variant,reason,count
baseline_current,regime_blocked,2525
baseline_current,h4_width_blocked,1419
baseline_current,event_confidence_low,1206
baseline_current,h4_range_unusable,866
baseline_current,h4_state_blocked,866
baseline_current,overlap_open_position,64
baseline_current,side_cooldown,41
baseline_current,opposite_overlap_blocked,16
baseline_current,h4_transition_blocked,6
baseline_current,h4_method_blocked,2
variant_no_warmup,regime_blocked,2525
variant_no_warmup,h4_width_blocked,1419
variant_no_warmup,event_confidence_low,1206
variant_no_warmup,h4_range_unusable,866
variant_no_warmup,h4_state_blocked,866
variant_no_warmup,overlap_open_position,59
variant_no_warmup,warmup_blocked,43
variant_no_warmup,side_cooldown,37
variant_no_warmup,opposite_overlap_blocked,15
variant_no_warmup,h4_transition_blocked,6
variant_no_warmup,h4_method_blocked,2
variant_early_failure_global,regime_blocked,2525
variant_early_failure_global,h4_width_blocked,1419
variant_early_failure_global,event_confidence_low,1206
variant_early_failure_global,h4_range_unusable,866
variant_early_failure_global,h4_state_blocked,866
variant_early_failure_global,overlap_open_position,64
variant_early_failure_global,side_cooldown,41
variant_early_failure_global,opposite_overlap_blocked,16
variant_early_failure_global,h4_transition_blocked,6
variant_early_failure_global,h4_method_blocked,2
variant_early_failure_targeted,regime_blocked,2525
variant_early_failure_targeted,h4_width_blocked,1419
variant_early_failure_targeted,event_confidence_low,1206
variant_early_failure_targeted,h4_range_unusable,866
variant_early_failure_targeted,h4_state_blocked,866
variant_early_failure_targeted,overlap_open_position,64
variant_early_failure_targeted,side_cooldown,41
variant_early_failure_targeted,opposite_overlap_blocked,16
variant_early_failure_targeted,h4_transition_blocked,6
variant_early_failure_targeted,h4_method_blocked,2
variant_bad_width_bucket_filter,regime_blocked,2525
variant_bad_width_bucket_filter,h4_width_blocked,1419
variant_bad_width_bucket_filter,event_confidence_low,1206
variant_bad_width_bucket_filter,h4_range_unusable,866
variant_bad_width_bucket_filter,h4_state_blocked,866
variant_bad_width_bucket_filter,bad_width_bucket_blocked,650
variant_bad_width_bucket_filter,overlap_open_position,52
variant_bad_width_bucket_filter,side_cooldown,34
variant_bad_width_bucket_filter,opposite_overlap_blocked,11
variant_bad_width_bucket_filter,h4_transition_blocked,6
variant_bad_width_bucket_filter,h4_method_blocked,2
variant_bad_width_bucket_repair,regime_blocked,2525
variant_bad_width_bucket_repair,h4_width_blocked,1419
variant_bad_width_bucket_repair,event_confidence_low,1206
variant_bad_width_bucket_repair,h4_range_unusable,866
variant_bad_width_bucket_repair,h4_state_blocked,866
variant_bad_width_bucket_repair,overlap_open_position,64
variant_bad_width_bucket_repair,side_cooldown,41
variant_bad_width_bucket_repair,opposite_overlap_blocked,16
variant_bad_width_bucket_repair,h4_transition_blocked,6
variant_bad_width_bucket_repair,h4_method_blocked,2
variant_combo_best_effort,regime_blocked,2525
variant_combo_best_effort,h4_width_blocked,1419
variant_combo_best_effort,event_confidence_low,1206
variant_combo_best_effort,h4_range_unusable,866
variant_combo_best_effort,h4_state_blocked,866
variant_combo_best_effort,bad_width_bucket_blocked,650
variant_combo_best_effort,overlap_open_position,49
variant_combo_best_effort,warmup_blocked,43
variant_combo_best_effort,side_cooldown,32
variant_combo_best_effort,opposite_overlap_blocked,10
variant_combo_best_effort,h4_transition_blocked,6
variant_combo_best_effort,h4_method_blocked,2
