variant,reason,reason_hits
baseline_current,event_confidence_low,138
baseline_current,overlap_open_position,62
baseline_current,side_cooldown,39
baseline_current,opposite_overlap_blocked,16
variant_no_warmup,event_confidence_low,128
variant_no_warmup,overlap_open_position,57
variant_no_warmup,side_cooldown,35
variant_no_warmup,opposite_overlap_blocked,15
variant_early_failure_global,event_confidence_low,138
variant_early_failure_global,overlap_open_position,62
variant_early_failure_global,side_cooldown,39
variant_early_failure_global,opposite_overlap_blocked,16
variant_early_failure_targeted,event_confidence_low,138
variant_early_failure_targeted,overlap_open_position,62
variant_early_failure_targeted,side_cooldown,39
variant_early_failure_targeted,opposite_overlap_blocked,16
variant_bad_width_bucket_filter,event_confidence_low,117
variant_bad_width_bucket_filter,overlap_open_position,48
variant_bad_width_bucket_filter,side_cooldown,32
variant_bad_width_bucket_filter,opposite_overlap_blocked,9
variant_bad_width_bucket_repair,event_confidence_low,138
variant_bad_width_bucket_repair,overlap_open_position,62
variant_bad_width_bucket_repair,side_cooldown,39
variant_bad_width_bucket_repair,opposite_overlap_blocked,16
variant_combo_best_effort,event_confidence_low,109
variant_combo_best_effort,overlap_open_position,45
variant_combo_best_effort,side_cooldown,30
variant_combo_best_effort,opposite_overlap_blocked,8
