variant,confirm_count_bucket,raw_candidates,event_survivors,confirm_survivors,execution_survivors,final_trades,event_capture_rate,confirm_capture_rate,execution_capture_rate,trade_capture_rate
baseline_master_current,0,2826,5,0,0,0,0.0017692852087756545,0.0,0.0,0.0
baseline_master_current,1,126,126,2,1,0,1.0,0.015873015873015872,0.5,0.0
baseline_master_current,2,153,153,153,47,23,1.0,1.0,0.30718954248366015,0.1503267973856209
baseline_master_current,3+,128,128,128,109,73,1.0,1.0,0.8515625,0.5703125
variant_capture_audit_only,0,2826,5,0,0,0,0.0017692852087756545,0.0,0.0,0.0
variant_capture_audit_only,1,126,126,2,1,0,1.0,0.015873015873015872,0.5,0.0
variant_capture_audit_only,2,153,153,153,47,23,1.0,1.0,0.30718954248366015,0.1503267973856209
variant_capture_audit_only,3+,128,128,128,109,73,1.0,1.0,0.8515625,0.5703125
variant_near_miss_recovery_1,0,2826,5,0,0,0,0.0017692852087756545,0.0,0.0,0.0
variant_near_miss_recovery_1,1,126,126,2,1,0,1.0,0.015873015873015872,0.5,0.0
variant_near_miss_recovery_1,2,153,153,153,66,35,1.0,1.0,0.43137254901960786,0.22875816993464052
variant_near_miss_recovery_1,3+,128,128,128,108,67,1.0,1.0,0.84375,0.5234375
variant_near_miss_recovery_2,0,2826,5,0,0,0,0.0017692852087756545,0.0,0.0,0.0
variant_near_miss_recovery_2,1,126,126,2,1,0,1.0,0.015873015873015872,0.5,0.0
variant_near_miss_recovery_2,2,153,153,153,47,23,1.0,1.0,0.30718954248366015,0.1503267973856209
variant_near_miss_recovery_2,3+,128,128,128,109,73,1.0,1.0,0.8515625,0.5703125
variant_soft_confirm_strong_context,0,2826,5,0,0,0,0.0017692852087756545,0.0,0.0,0.0
variant_soft_confirm_strong_context,1,126,126,2,1,0,1.0,0.015873015873015872,0.5,0.0
variant_soft_confirm_strong_context,2,153,153,153,47,23,1.0,1.0,0.30718954248366015,0.1503267973856209
variant_soft_confirm_strong_context,3+,128,128,128,109,73,1.0,1.0,0.8515625,0.5703125
variant_best_effort_capture_recovery,0,2826,5,0,0,0,0.0017692852087756545,0.0,0.0,0.0
variant_best_effort_capture_recovery,1,126,126,2,1,0,1.0,0.015873015873015872,0.5,0.0
variant_best_effort_capture_recovery,2,153,153,153,66,35,1.0,1.0,0.43137254901960786,0.22875816993464052
variant_best_effort_capture_recovery,3+,128,128,128,108,67,1.0,1.0,0.84375,0.5234375
