variant,box_width_bucket,raw_candidates,event_survivors,confirm_survivors,execution_survivors,final_trades,event_capture_rate,confirm_capture_rate,execution_capture_rate,trade_capture_rate
baseline_master_current,0.5-1.0%,382,86,64,40,24,0.225130890052356,0.7441860465116279,0.625,0.06282722513089005
baseline_master_current,1.5-2.5%,1358,200,137,83,44,0.14727540500736377,0.685,0.6058394160583942,0.03240058910162003
baseline_master_current,2.5-4.0%,893,84,56,19,17,0.0940649496080627,0.6666666666666666,0.3392857142857143,0.019036954087346025
baseline_master_current,4.0-8.0%,541,26,14,7,6,0.04805914972273567,0.5384615384615384,0.5,0.011090573012939002
baseline_master_current,<=0.5%,59,16,12,8,5,0.2711864406779661,0.75,0.6666666666666666,0.0847457627118644
variant_capture_audit_only,0.5-1.0%,382,86,64,40,24,0.225130890052356,0.7441860465116279,0.625,0.06282722513089005
variant_capture_audit_only,1.5-2.5%,1358,200,137,83,44,0.14727540500736377,0.685,0.6058394160583942,0.03240058910162003
variant_capture_audit_only,2.5-4.0%,893,84,56,19,17,0.0940649496080627,0.6666666666666666,0.3392857142857143,0.019036954087346025
variant_capture_audit_only,4.0-8.0%,541,26,14,7,6,0.04805914972273567,0.5384615384615384,0.5,0.011090573012939002
variant_capture_audit_only,<=0.5%,59,16,12,8,5,0.2711864406779661,0.75,0.6666666666666666,0.0847457627118644
variant_near_miss_recovery_1,0.5-1.0%,382,86,64,40,23,0.225130890052356,0.7441860465116279,0.625,0.060209424083769635
variant_near_miss_recovery_1,1.5-2.5%,1358,200,137,92,46,0.14727540500736377,0.685,0.6715328467153284,0.033873343151693665
variant_near_miss_recovery_1,2.5-4.0%,893,84,56,27,22,0.0940649496080627,0.6666666666666666,0.48214285714285715,0.02463605823068309
variant_near_miss_recovery_1,4.0-8.0%,541,26,14,8,6,0.04805914972273567,0.5384615384615384,0.5714285714285714,0.011090573012939002
variant_near_miss_recovery_1,<=0.5%,59,16,12,8,5,0.2711864406779661,0.75,0.6666666666666666,0.0847457627118644
variant_near_miss_recovery_2,0.5-1.0%,382,86,64,40,24,0.225130890052356,0.7441860465116279,0.625,0.06282722513089005
variant_near_miss_recovery_2,1.5-2.5%,1358,200,137,83,44,0.14727540500736377,0.685,0.6058394160583942,0.03240058910162003
variant_near_miss_recovery_2,2.5-4.0%,893,84,56,19,17,0.0940649496080627,0.6666666666666666,0.3392857142857143,0.019036954087346025
variant_near_miss_recovery_2,4.0-8.0%,541,26,14,7,6,0.04805914972273567,0.5384615384615384,0.5,0.011090573012939002
variant_near_miss_recovery_2,<=0.5%,59,16,12,8,5,0.2711864406779661,0.75,0.6666666666666666,0.0847457627118644
variant_soft_confirm_strong_context,0.5-1.0%,382,86,64,40,24,0.225130890052356,0.7441860465116279,0.625,0.06282722513089005
variant_soft_confirm_strong_context,1.5-2.5%,1358,200,137,83,44,0.14727540500736377,0.685,0.6058394160583942,0.03240058910162003
variant_soft_confirm_strong_context,2.5-4.0%,893,84,56,19,17,0.0940649496080627,0.6666666666666666,0.3392857142857143,0.019036954087346025
variant_soft_confirm_strong_context,4.0-8.0%,541,26,14,7,6,0.04805914972273567,0.5384615384615384,0.5,0.011090573012939002
variant_soft_confirm_strong_context,<=0.5%,59,16,12,8,5,0.2711864406779661,0.75,0.6666666666666666,0.0847457627118644
variant_best_effort_capture_recovery,0.5-1.0%,382,86,64,40,23,0.225130890052356,0.7441860465116279,0.625,0.060209424083769635
variant_best_effort_capture_recovery,1.5-2.5%,1358,200,137,92,46,0.14727540500736377,0.685,0.6715328467153284,0.033873343151693665
variant_best_effort_capture_recovery,2.5-4.0%,893,84,56,27,22,0.0940649496080627,0.6666666666666666,0.48214285714285715,0.02463605823068309
variant_best_effort_capture_recovery,4.0-8.0%,541,26,14,8,6,0.04805914972273567,0.5384615384615384,0.5714285714285714,0.011090573012939002
variant_best_effort_capture_recovery,<=0.5%,59,16,12,8,5,0.2711864406779661,0.75,0.6666666666666666,0.0847457627118644
