variant,stage,count,rate_vs_prev
baseline_master_current,tradable_context_bars,5550,
baseline_master_current,raw_false_break_candidates,3233,0.5825225225225226
baseline_master_current,event_layer_survivors,412,0.12743581812557997
baseline_master_current,confirm_layer_survivors,283,0.6868932038834952
baseline_master_current,execution_layer_survivors,157,0.5547703180212014
baseline_master_current,final_trades,96,0.6114649681528662
variant_capture_audit_only,tradable_context_bars,5550,
variant_capture_audit_only,raw_false_break_candidates,3233,0.5825225225225226
variant_capture_audit_only,event_layer_survivors,412,0.12743581812557997
variant_capture_audit_only,confirm_layer_survivors,283,0.6868932038834952
variant_capture_audit_only,execution_layer_survivors,157,0.5547703180212014
variant_capture_audit_only,final_trades,96,0.6114649681528662
variant_near_miss_recovery_1,tradable_context_bars,5550,
variant_near_miss_recovery_1,raw_false_break_candidates,3233,0.5825225225225226
variant_near_miss_recovery_1,event_layer_survivors,412,0.12743581812557997
variant_near_miss_recovery_1,confirm_layer_survivors,283,0.6868932038834952
variant_near_miss_recovery_1,execution_layer_survivors,175,0.6183745583038869
variant_near_miss_recovery_1,final_trades,102,0.5828571428571429
variant_near_miss_recovery_2,tradable_context_bars,5550,
variant_near_miss_recovery_2,raw_false_break_candidates,3233,0.5825225225225226
variant_near_miss_recovery_2,event_layer_survivors,412,0.12743581812557997
variant_near_miss_recovery_2,confirm_layer_survivors,283,0.6868932038834952
variant_near_miss_recovery_2,execution_layer_survivors,157,0.5547703180212014
variant_near_miss_recovery_2,final_trades,96,0.6114649681528662
variant_soft_confirm_strong_context,tradable_context_bars,5550,
variant_soft_confirm_strong_context,raw_false_break_candidates,3233,0.5825225225225226
variant_soft_confirm_strong_context,event_layer_survivors,412,0.12743581812557997
variant_soft_confirm_strong_context,confirm_layer_survivors,283,0.6868932038834952
variant_soft_confirm_strong_context,execution_layer_survivors,157,0.5547703180212014
variant_soft_confirm_strong_context,final_trades,96,0.6114649681528662
variant_best_effort_capture_recovery,tradable_context_bars,5550,
variant_best_effort_capture_recovery,raw_false_break_candidates,3233,0.5825225225225226
variant_best_effort_capture_recovery,event_layer_survivors,412,0.12743581812557997
variant_best_effort_capture_recovery,confirm_layer_survivors,283,0.6868932038834952
variant_best_effort_capture_recovery,execution_layer_survivors,175,0.6183745583038869
variant_best_effort_capture_recovery,final_trades,102,0.5828571428571429
